2026-08-24T13:21:07.999-06:00 | [RELEASE] | evento_107 | tecla='q' | delta_ms=79
2026-08-24T13:21:08.013-06:00 | [PRESS] | evento_108 | tecla='u' | delta_ms=13
2026-08-24T13:21:08.100-06:00 | [RELEASE] | evento_109 | tecla='u' | delta_ms=87
2026-08-24T13:21:08.103-06:00 | [PRESS] | evento_110 | tecla='e' | delta_ms=3
2026-08-24T13:21:08.145-06:00 | [RELEASE] | evento_111 | tecla='e' | delta_ms=42
2026-08-24T13:21:08.149-06:00 | [PRESS] | evento_112 | tecla=Key.space | delta_ms=3
2026-08-24T13:21:08.201-06:00 | [RELEASE] | evento_113 | tecla=Key.space | delta_ms=52
2026-08-24T13:21:08.446-06:00 | [PRESS] | evento_114 | tecla='p' | delta_ms=245
2026-08-24T13:21:08.553-06:00 | [PRESS] | evento_115 | tecla='o' | delta_ms=106
2026-08-24T13:21:08.584-06:00 | [RELEASE] | evento_116 | tecla='p' | delta_ms=30
2026-08-24T13:21:08.636-06:00 | [RELEASE] | evento_117 | tecla='o' | delta_ms=52
2026-08-24T13:21:08.639-06:00 | [PRESS] | evento_118 | tecla='n' | delta_ms=3
2026-08-24T13:21:08.713-06:00 | [RELEASE] | evento_119 | tecla='n' | delta_ms=73
2026-08-24T13:21:08.745-06:00 | [PRESS] | evento_120 | tecla='e' | delta_ms=32
2026-08-24T13:21:08.809-06:00 | [RELEASE] | evento_121 | tecla='e' | delta_ms=64
2026-08-24T13:21:08.841-06:00 | [PRESS] | evento_122 | tecla=Key.space | delta_ms=31
2026-08-24T13:21:08.929-06:00 | [RELEASE] | evento_123 | tecla=Key.space | delta_ms=87
2026-08-24T13:21:08.942-06:00 | [PRESS] | evento_124 | tecla='l' | delta_ms=12
2026-08-24T13:21:09.089-06:00 | [RELEASE] | evento_125 | tecla='l' | delta_ms=147
2026-08-24T13:21:09.092-06:00 | [PRESS] | evento_126 | tecla='a' | delta_ms=2
2026-08-24T13:21:09.155-06:00 | [PRESS] | evento_127 | tecla=Key.space | delta_ms=62
2026-08-24T13:21:09.194-06:00 | [RELEASE] | evento_128 | tecla='a' | delta_ms=38
2026-08-24T13:21:09.237-06:00 | [RELEASE] | evento_129 | tecla=Key.space | delta_ms=43
2026-08-24T13:21:09.397-06:00 | [PRESS] | evento_130 | tecla='h' | delta_ms=159
2026-08-24T13:21:09.501-06:00 | [PRESS] | evento_131 | tecla='o' | delta_ms=103
2026-08-24T13:21:09.529-06:00 | [RELEASE] | evento_132 | tecla='h' | delta_ms=28
2026-08-24T13:21:09.551-06:00 | [PRESS] | evento_133 | tecla='r' | delta_ms=21
2026-08-24T13:21:09.577-06:00 | [RELEASE] | evento_134 | tecla='o' | delta_ms=26
2026-08-24T13:21:09.617-06:00 | [PRESS] | evento_135 | tecla='a' | delta_ms=40
2026-08-24T13:21:09.634-06:00 | [RELEASE] | evento_136 | tecla='r' | delta_ms=16
2026-08-24T13:21:09.680-06:00 | [PRESS] | evento_137 | tecla=Key.space | delta_ms=45
2026-08-24T13:21:09.721-06:00 | [RELEASE] | evento_138 | tecla='a' | delta_ms=41
2026-08-24T13:21:09.733-06:00 | [RELEASE] | evento_139 | tecla=Key.space | delta_ms=11
2026-08-24T13:21:09.836-06:00 | [PRESS] | evento_140 | tecla='m' | delta_ms=103
2026-08-24T13:21:09.903-06:00 | [RELEASE] | evento_141 | tecla='m' | delta_ms=67
2026-08-24T13:21:09.912-06:00 | [PRESS] | evento_142 | tecla='a' | delta_ms=8
2026-08-24T13:21:09.989-06:00 | [RELEASE] | evento_143 | tecla='a' | delta_ms=76
2026-08-24T13:21:09.993-06:00 | [PRESS] | evento_144 | tecla='l' | delta_ms=4
2026-08-24T13:21:10.127-06:00 | [RELEASE] | evento_145 | tecla='l' | delta_ms=133
2026-08-24T13:21:10.486-06:00 | [PRESS] | evento_146 | tecla=Key.ctrl_l | delta_ms=359
2026-08-24T13:21:10.711-06:00 | [PRESS] | evento_147 | tecla='' | delta_ms=225
2026-08-24T13:21:10.799-06:00 | [RELEASE] | evento_148 | tecla='' | delta_ms=87
2026-08-24T13:21:10.879-06:00 | [RELEASE] | evento_149 | tecla=Key.ctrl_l | delta_ms=79
2026-08-24T13:21:13.735-06:00 | [PRESS] | evento_150 | tecla=Key.space | delta_ms=2856
2026-08-24T13:21:13.879-06:00 | [RELEASE] | evento_151 | tecla=Key.space | delta_ms=144
2026-08-24T13:21:15.530-06:00 | [PRESS] | evento_152 | tecla=Key.cmd | delta_ms=1650
2026-08-24T13:21:15.641-06:00 | [PRESS] | evento_153 | tecla=Key.shift | delta_ms=111
2026-08-24T13:21:15.740-06:00 | [PRESS] | evento_154 | tecla='S' | delta_ms=99
2026-08-24T13:21:15.819-06:00 | [RELEASE] | evento_155 | tecla=Key.cmd | delta_ms=79
2026-08-24T13:21:15.845-06:00 | [RELEASE] | evento_156 | tecla='S' | delta_ms=25
2026-08-24T13:21:15.852-06:00 | [RELEASE] | evento_157 | tecla=Key.shift | delta_ms=6
2026-08-24T13:21:17.994-06:00 | [PRESS] | evento_158 | tecla=Key.ctrl_l | delta_ms=2142
2026-08-24T13:21:18.250-06:00 | [PRESS] | evento_159 | tecla='' | delta_ms=256
2026-08-24T13:21:18.319-06:00 | [RELEASE] | evento_160 | tecla='' | delta_ms=69
2026-08-24T13:21:18.514-06:00 | [RELEASE] | evento_161 | tecla=Key.ctrl_l | delta_ms=194
2026-08-24T13:21:19.385-06:00 | [PRESS] | evento_162 | tecla=Key.enter | delta_ms=870
2026-08-24T13:21:19.541-06:00 | [RELEASE] | evento_163 | tecla=Key.enter | delta_ms=156
2026-08-24T13:21:40.499-06:00 | [PRESS] | evento_164 | tecla=Key.alt_l | delta_ms=20958
2026-08-24T13:21:40.556-06:00 | [PRESS] | evento_165 | tecla=Key.tab | delta_ms=56
2026-08-24T13:21:40.607-06:00 | [RELEASE] | evento_166 | tecla=Key.alt_l | delta_ms=51
2026-08-24T13:21:40.665-06:00 | [RELEASE] | evento_167 | tecla=Key.tab | delta_ms=57
2026-08-24T13:21:42.452-06:00 | [PRESS] | evento_168 | tecla=Key.alt_l | delta_ms=1787
2026-08-24T13:21:42.538-06:00 | [PRESS] | evento_169 | tecla=Key.tab | delta_ms=85
2026-08-24T13:21:42.599-06:00 | [RELEASE] | evento_170 | tecla=Key.tab | delta_ms=61
2026-08-24T13:21:42.681-06:00 | [PRESS] | evento_171 | tecla=Key.tab | delta_ms=82
2026-08-24T13:21:42.760-06:00 | [RELEASE] | evento_172 | tecla=Key.tab | delta_ms=79
2026-08-24T13:21:42.874-06:00 | [RELEASE] | evento_173 | tecla=Key.alt_l | delta_ms=114
2026-08-24T13:21:49.586-06:00 | [PRESS] | evento_174 | tecla=Key.alt_l | delta_ms=6711
2026-08-24T13:21:49.651-06:00 | [PRESS] | evento_175 | tecla=Key.tab | delta_ms=64
2026-08-24T13:21:49.749-06:00 | [RELEASE] | evento_176 | tecla=Key.tab | delta_ms=98
2026-08-24T13:21:49.821-06:00 | [PRESS] | evento_177 | tecla=Key.tab | delta_ms=71
2026-08-24T13:21:49.909-06:00 | [RELEASE] | evento_178 | tecla=Key.tab | delta_ms=88
2026-08-24T13:21:49.962-06:00 | [RELEASE] | evento_179 | tecla=Key.alt_l | delta_ms=53
2026-08-24T13:21:51.734-06:00 | [PRESS] | evento_180 | tecla='y' | delta_ms=1772
2026-08-24T13:21:51.784-06:00 | [RELEASE] | evento_181 | tecla='y' | delta_ms=49
